wavelength_fl_nm,fluorescence_405_nm,wavelength_abs_nm,absorbance
563.3,0.02455,539.7,0.081
564.1,0.0241,540.5,0.081
564.9,0.0236,541.3,0.08
565.7,0.0232,542.1,0.078
566.5,0.0227,542.9,0.077
567.3,0.02235,543.6,0.076
568,0.0219,544.4,0.075
568.8,0.02155,545.2,0.073
569.6,0.0212,546,0.072
570.4,0.0208,546.8,0.07
571.2,0.02045,547.6,0.067
572,0.02015,548.4,0.066
572.8,0.0198,549.2,0.063
573.6,0.01965,549.9,0.062
574.3,0.01925,550.7,0.06
575.1,0.01895,551.5,0.059
575.9,0.0186,552.3,0.058
576.7,0.0183,553.1,0.057
577.5,0.01805,553.9,0.056
578.3,0.01775,554.7,0.055
579.1,0.01745,555.5,0.054
579.9,0.01715,556.2,0.054
580.6,0.01675,557,0.054
581.4,0.01635,557.8,0.052
582.2,0.016,558.6,0.052
583,0.01565,559.4,0.051
583.8,0.0153,560.2,0.05
584.6,0.01495,561,0.049
585.4,0.0146,561.7,0.049
586.2,0.01425,562.5,0.048
586.9,0.01395,563.3,0.047
587.7,0.0137,564.1,0.047
588.5,0.0134,564.9,0.046
589.2,0.01305,565.7,0.046
590,0.0127,566.5,0.045
590.7,0.0124,567.3,0.045
591.4,0.0122,568,0.044
592.2,0.01195,568.8,0.044
592.9,0.0117,569.6,0.044
593.6,0.01135,570.4,0.043
594.4,0.01105,571.2,0.042
595.1,0.0107,572,0.041
595.8,0.01045,572.8,0.041
596.6,0.01015,573.6,0.041
597.3,0.00985,574.3,0.041
598,0.00955,575.1,0.04
598.8,0.0093,575.9,0.04
599.5,0.009,576.7,0.039
600.2,0.0088,577.5,0.039
601,0.00855,578.3,0.039
601.7,0.00835,579.1,0.039
602.4,0.0081,579.9,0.038
603.2,0.00785,580.6,0.038
603.9,0.00765,581.4,0.038
604.6,0.00745,582.2,0.037
605.4,0.00725,583,0.037
606.1,0.0071,583.8,0.036
606.8,0.00695,584.6,0.036
607.6,0.00685,585.4,0.036
608.3,0.00675,586.2,0.036
609,0.00655,586.9,0.036
609.8,0.00635,587.7,0.035
610.5,0.0062,588.5,0.034
611.2,0.0061,589.2,0.034
612,0.00595,590,0.034
612.7,0.0058,590.7,0.033
613.4,0.00565,591.4,0.033
614.2,0.0055,592.2,0.033
614.9,0.0053,592.9,0.033
615.6,0.0052,593.6,0.032
616.4,0.00505,594.4,0.031
617.1,0.00485,595.1,0.03
617.8,0.0047,595.8,0.03
618.6,0.00465,596.6,0.03
619.3,0.00455,597.3,0.03
620,0.00445,598,0.03
620.8,0.0043,598.8,0.03
621.5,0.0042,599.5,0.03
622.2,0.00415,600.2,0.029
623,0.004,601,0.029
623.7,0.00395,601.7,0.029
624.4,0.0038,602.4,0.029
625.2,0.00375,603.2,0.028
625.9,0.00365,603.9,0.028
626.6,0.00355,604.6,0.028
627.4,0.0035,605.4,0.028
628.1,0.00345,606.1,0.029
628.8,0.00335,606.8,0.029
629.6,0.0033,607.6,0.029
630.3,0.0032,608.3,0.031
631,0.00315,609,0.031
631.8,0.00305,609.8,0.032
632.5,0.00295,610.5,0.03
633.2,0.0029,611.2,0.03
634,0.00285,612,0.029
634.7,0.00275,612.7,0.029
635.4,0.0027,613.4,0.028
636.2,0.0027,614.2,0.028
636.9,0.0026,614.9,0.027
637.6,0.00255,615.6,0.026
638.4,0.0025,616.4,0.026
639.1,0.0024,617.1,0.026
639.8,0.0024,617.8,0.026
640.6,0.00235,618.6,0.025
641.3,0.0023,619.3,0.025
642.1,0.00225,620,0.025
642.8,0.0022,620.8,0.025
643.5,0.0022,621.5,0.025
644.3,0.00215,622.2,0.025
645,0.00215,623,0.025
645.7,0.0021,623.7,0.024
646.5,0.00205,624.4,0.024
647.2,0.00205,625.2,0.024
647.9,0.002,625.9,0.024
648.7,0.00205,626.6,0.024
649.4,0.00195,627.4,0.024
650.1,0.00195,628.1,0.024
650.9,0.0019,628.8,0.023
651.6,0.00185,629.6,0.023
652.3,0.00185,630.3,0.023
