wavelength_nm,abs_blue_1,abs_red_40
594.1,0.36455,0.037
594.8,0.37145,0.037
595.6,0.37835,0.036
596.3,0.38525,0.035
597.1,0.3933,0.034
597.8,0.40135,0.033
598.5,0.41055,0.033
599.3,0.4186,0.033
600,0.42895,0.033
600.8,0.43815,0.032
601.5,0.44965,0.032
602.3,0.46,0.031
603,0.4715,0.031
603.7,0.48185,0.031
604.5,0.4945,0.031
605.2,0.50715,0.03
606,0.5198,0.029
606.7,0.53245,0.028
607.5,0.54625,0.027
608.2,0.5612,0.027
609,0.57615,0.027
609.7,0.5911,0.027
610.4,0.60605,0.026
611.2,0.61985,0.026
611.9,0.63595,0.025
612.7,0.65205,0.025
613.4,0.667,0.024
614.2,0.6831,0.024
614.9,0.6992,0.024
615.7,0.71645,0.024
616.4,0.73025,0.024
617.1,0.7452,0.024
617.9,0.76015,0.024
618.6,0.77625,0.023
619.4,0.7912,0.023
620.1,0.80385,0.023
620.9,0.8165,0.022
621.6,0.82685,0.023
622.3,0.8372,0.023
623.1,0.8464,0.023
623.8,0.8556,0.022
624.6,0.86135,0.022
625.3,0.8671,0.022
626.1,0.8717,0.022
626.8,0.87515,0.022
627.6,0.8763,0.022
628.3,0.8763,0.021
629,0.874,0.02
629.8,0.87055,0.021
630.5,0.86365,0.021
631.3,0.85675,0.021
632,0.84755,0.021
632.8,0.83835,0.021
633.5,0.8257,0.021
634.3,0.8119,0.02
635,0.79695,0.021
635.7,0.78085,0.021
636.5,0.7636,0.021
637.2,0.74405,0.02
638,0.7245,0.02
638.7,0.7038,0.02
639.5,0.6831,0.02
640.2,0.6601,0.02
640.9,0.63825,0.02
641.7,0.6141,0.02
642.4,0.5911,0.02
643.2,0.5681,0.02
643.9,0.5451,0.02
644.7,0.52095,0.02
645.4,0.4968,0.019
646.2,0.47495,0.019
646.9,0.45195,0.019
647.6,0.4301,0.02
648.4,0.4071,0.019
649.1,0.38525,0.019
649.9,0.36455,0.019
650.6,0.34385,0.019
651.4,0.3243,0.019
652.1,0.30705,0.018
652.9,0.28865,0.018
653.6,0.27255,0.018
654.3,0.2576,0.018
655.1,0.2415,0.018
655.8,0.2277,0.018
656.6,0.21275,0.018
657.3,0.20125,0.018
658.1,0.18975,0.018
658.8,0.1794,0.018
659.5,0.1679,0.017
660.3,0.15755,0.017
661,0.14835,0.017
661.8,0.13915,0.017
662.5,0.1311,0.017
663.3,0.12305,0.017
664,0.11615,0.017
664.8,0.10925,0.017
665.5,0.10235,0.018
666.2,0.0966,0.018
667,0.09085,0.018
667.8,0.08625,0.017
668.5,0.07935,0.017
669.3,0.07475,0.018
670,0.0713,0.018
670.8,0.0667,0.018
671.5,0.06325,0.018
672.3,0.0598,0.018
673.1,0.05635,0.017
673.8,0.0529,0.017
674.6,0.0506,0.017
675.3,0.0483,0.018
676.1,0.046,0.018
676.8,0.04255,0.018
677.6,0.04025,0.017
678.4,0.03795,0.018
679.1,0.03565,0.017
679.9,0.0345,0.017
680.6,0.03335,0.017
681.4,0.0322,0.017
682.1,0.0299,0.017
682.9,0.0276,0.017
683.7,0.02645,0.017
684.4,0.0253,0.017
685.2,0.0253,0.016
685.9,0.02415,0.016
686.7,0.023,0.016
687.4,0.02185,0.016
688.2,0.0207,0.016
689,0.01955,0.015
689.7,0.01955,0.015
690.5,0.01955,0.015
691.2,0.0184,0.015
692,0.0184,0.015
692.7,0.0161,0.015
693.5,0.0161,0.015
694.3,0.01495,0.015
695,0.01495,0.015
695.8,0.01495,0.015
696.5,0.01495,0.015
697.3,0.01495,0.015
698,0.0138,0.016
698.8,0.0138,0.016
699.6,0.01265,0.016
700.3,0.0138,0.016
701.1,0.01265,0.015
701.8,0.01265,0.015
702.6,0.01265,0.016
703.3,0.01265,0.017
704.1,0.01265,0.016
704.9,0.01265,0.017
705.6,0.0115,0.016
706.4,0.0115,0.017
707.1,0.0115,0.017
707.9,0.0115,0.017
708.7,0.0115,0.017
709.5,0.0115,0.016
